id,name_en,name_he,name_ru,source,category,brand,calories,protein,carbs,fat,fiber,sugars,sodium,has_image
usda_167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)","גבינה — Bread, salvadoran sweet cheese (quesadilla salvadorena)","Сыр — Bread, salvadoran sweet cheese (quesadilla salvadorena)",USDA_SR_Legacy,bakery,,374,7.12,47.84,17.12,0.7,,510,yes
usda_174929,"Bread, sticks, plain","לחם — Bread, sticks, plain","Хлеб — Bread, sticks, plain",USDA_SR_Legacy,bakery,,412,12,68.4,9.5,3,,713,yes
usda_172693,"Bread, stuffing, cornbread, dry mix, prepared","לחם תירס — Bread, stuffing, cornbread, dry mix, prepared","Кукурузный хлеб — Bread, stuffing, cornbread, dry mix, prepared",USDA_SR_Legacy,bakery,,179,2.9,21.9,8.8,2.9,,526,yes
usda_174930,"Bread, stuffing, dry mix","לחם — Bread, stuffing, dry mix","Сухая смесь — Bread, stuffing, dry mix",USDA_SR_Legacy,bakery,,386,11,76.2,3.4,3.2,,1405,yes
usda_173330,"Beef stew, canned entree","בקר — Beef stew, canned entree","Говядина — Beef stew, canned entree",USDA_SR_Legacy,meat,,99,4.41,7.85,5.53,0.9,,388,yes
usda_173332,"Beef, corned beef hash, with potato, canned","בקר — Beef, corned beef hash, with potato, canned","Говядина — Beef, corned beef hash, with potato, canned",USDA_SR_Legacy,vegetable,,164,8.73,9.27,10.24,1.1,,412,yes
usda_168049,"Caribou, shoulder meat, dried (Alaska Native)","יבש — Caribou, shoulder meat, dried (Alaska Native)","Сушёный — Caribou, shoulder meat, dried (Alaska Native)",USDA_SR_Legacy,meat,,271,59.38,,3.67,,,950,yes
usda_172104,"Egg rolls, chicken, refrigerated, heated","עוף — Egg rolls, chicken, refrigerated, heated","Курица — Egg rolls, chicken, refrigerated, heated",USDA_SR_Legacy,meat,,197,10.44,28.54,4.51,2.4,,478,yes
usda_172103,"Egg rolls, pork, refrigerated, heated","חזיר — Egg rolls, pork, refrigerated, heated","Свинина — Egg rolls, pork, refrigerated, heated",USDA_SR_Legacy,meat,,227,9.94,28.49,8.18,,,407,yes
usda_170756,"Fast Foods, Fried Chicken, Breast, meat and skin and breading","מזון מהיר — Fast Foods, Fried Chicken, Breast, meat and skin and breading","Фастфуд — Fast Foods, Fried Chicken, Breast, meat and skin and breading",USDA_SR_Legacy,meat,,230,23.51,6.03,12.44,0.1,,657,yes
usda_170356,"Fast Foods, Fried Chicken, Breast, meat only, skin and breading removed","מזון מהיר — Fast Foods, Fried Chicken, Breast, meat only, skin and breading removed","Фастфуд — Fast Foods, Fried Chicken, Breast, meat only, skin and breading removed",USDA_SR_Legacy,meat,,153,27.93,,4.54,,,512,yes
usda_170757,"Fast Foods, Fried Chicken, Drumstick, meat and skin with breading","מזון מהיר — Fast Foods, Fried Chicken, Drumstick, meat and skin with breading","Фастфуд — Fast Foods, Fried Chicken, Drumstick, meat and skin with breading",USDA_SR_Legacy,meat,,267,21.13,7.59,16.92,0.5,,591,yes
usda_170357,"Fast Foods, Fried Chicken, Drumstick, meat only, skin and breading removed","מזון מהיר — Fast Foods, Fried Chicken, Drumstick, meat only, skin and breading removed","Фастфуд — Fast Foods, Fried Chicken, Drumstick, meat only, skin and breading removed",USDA_SR_Legacy,meat,,172,26.24,,7.41,,,492,yes
usda_170755,"Fast Foods, Fried Chicken, Skin and breading from all pieces","מזון מהיר — Fast Foods, Fried Chicken, Skin and breading from all pieces","Фастфуд — Fast Foods, Fried Chicken, Skin and breading from all pieces",USDA_SR_Legacy,meat,,398,14.11,19.56,29.22,0.3,,965,yes
usda_170359,"Fast Foods, Fried Chicken, Thigh, meat and skin and breading","מזון מהיר — Fast Foods, Fried Chicken, Thigh, meat and skin and breading","Фастфуд — Fast Foods, Fried Chicken, Thigh, meat and skin and breading",USDA_SR_Legacy,meat,,274,19.23,8.68,18.07,0.1,,747,yes
usda_170358,"Fast Foods, Fried Chicken, Thigh, meat only, skin and breading removed","מזון מהיר — Fast Foods, Fried Chicken, Thigh, meat only, skin and breading removed","Фастфуд — Fast Foods, Fried Chicken, Thigh, meat only, skin and breading removed",USDA_SR_Legacy,meat,,178,23.21,0.24,9.41,,,577,yes
usda_170360,"Fast Foods, Fried Chicken, Wing, meat and skin and breading","מזון מהיר — Fast Foods, Fried Chicken, Wing, meat and skin and breading","Фастфуд — Fast Foods, Fried Chicken, Wing, meat and skin and breading",USDA_SR_Legacy,meat,,310,21.14,11.19,20.09,0.1,,867,yes
usda_170754,"Fast Foods, Fried Chicken, Wing, meat only, skin and breading removed","מזון מהיר — Fast Foods, Fried Chicken, Wing, meat only, skin and breading removed","Фастфуд — Fast Foods, Fried Chicken, Wing, meat only, skin and breading removed",USDA_SR_Legacy,meat,,215,28.77,2.13,10.2,,,761,yes
usda_172028,"Fast Foods, biscuit, with egg and sausage","מזון מהיר — Fast Foods, biscuit, with egg and sausage","Фастфуд — Fast Foods, biscuit, with egg and sausage",USDA_SR_Legacy,meat,,312,11.13,21.05,20.77,0.2,,672,yes
usda_172083,"Fast Foods, cheeseburger; double, large patty; with condiments, vegetables and mayonnaise","מיונז — Fast Foods, cheeseburger; double, large patty; with condiments, vegetables and mayonnaise","Майонез — Fast Foods, cheeseburger; double, large patty; with condiments, vegetables and mayonnaise",USDA_SR_Legacy,sauces,,253,15.5,12.62,15.63,1.3,,405,yes
usda_170318,"Fast Foods, crispy chicken filet sandwich, with lettuce and mayonnaise","מיונז — Fast Foods, crispy chicken filet sandwich, with lettuce and mayonnaise","Майонез — Fast Foods, crispy chicken filet sandwich, with lettuce and mayonnaise",USDA_SR_Legacy,sauces,,276,10.94,27.4,13.59,1.4,,617,yes
usda_173323,"Fast foods, bagel, with breakfast steak, egg, cheese, and condiments","מזון מהיר — Fast foods, bagel, with breakfast steak, egg, cheese, and condiments","Фастфуд — Fast foods, bagel, with breakfast steak, egg, cheese, and condiments",USDA_SR_Legacy,meat,,282,15.95,22.99,14.07,0.2,,642,yes
usda_173322,"Fast foods, bagel, with egg, sausage patty, cheese, and condiments","מזון מהיר — Fast foods, bagel, with egg, sausage patty, cheese, and condiments","Фастфуд — Fast foods, bagel, with egg, sausage patty, cheese, and condiments",USDA_SR_Legacy,meat,,295,12.98,22.64,16.97,0.2,,550,yes
usda_173266,"Fast foods, biscuit, with egg and bacon","מזון מהיר — Fast foods, biscuit, with egg and bacon","Фастфуд — Fast foods, biscuit, with egg and bacon",USDA_SR_Legacy,meat,,305,11.33,19.06,20.73,0.5,,844,yes
usda_173267,"Fast foods, biscuit, with egg and ham","מזון מהיר — Fast foods, biscuit, with egg and ham","Фастфуд — Fast foods, biscuit, with egg and ham",USDA_SR_Legacy,meat,,233,10.64,16.37,14.08,0.4,,1093,yes
usda_172029,"Fast foods, biscuit, with egg, cheese, and bacon","מזון מהיר — Fast foods, biscuit, with egg, cheese, and bacon","Фастфуд — Fast foods, biscuit, with egg, cheese, and bacon",USDA_SR_Legacy,meat,,301,12.01,24.44,17.48,0.2,,816,yes
usda_172030,"Fast foods, biscuit, with ham","מזון מהיר — Fast foods, biscuit, with ham","Фастфуд — Fast foods, biscuit, with ham",USDA_SR_Legacy,meat,,342,11.85,38.75,16.3,0.7,,974,yes
usda_172031,"Fast foods, biscuit, with sausage","מזון מהיר — Fast foods, biscuit, with sausage","Фастфуд — Fast foods, biscuit, with sausage",USDA_SR_Legacy,meat,,371,9.67,29.99,24.42,0.4,,814,yes
usda_170788,"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese","מזון מהיר — Fast foods, breadstick, soft, prepared with garlic and parmesan cheese","Фастфуд — Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",USDA_SR_Legacy,bakery,,343,12.2,44.48,12.88,2.4,,539,yes
usda_170787,"Fast foods, breakfast burrito, with egg, cheese, and sausage","מזון מהיר — Fast foods, breakfast burrito, with egg, cheese, and sausage","Фастфуд — Fast foods, breakfast burrito, with egg, cheese, and sausage",USDA_SR_Legacy,meat,,277,11.1,22.97,15.63,1.2,,744,yes
usda_173277,"Fast foods, burrito, with beans and beef","מזון מהיר — Fast foods, burrito, with beans and beef","Фастфуд — Fast foods, burrito, with beans and beef",USDA_SR_Legacy,meat,,191,11.52,19.52,7.47,3,,570,yes
usda_173278,"Fast foods, burrito, with beans, cheese, and beef","מזון מהיר — Fast foods, burrito, with beans, cheese, and beef","Фастфуд — Fast foods, burrito, with beans, cheese, and beef",USDA_SR_Legacy,meat,,180,7.03,23.37,6.8,3.7,,451,yes
usda_172084,"Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce","מזון מהיר — Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce","Фастфуд — Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce",USDA_SR_Legacy,sauces,,261,11.94,21.53,14.1,1.4,,485,yes
usda_170294,"Fast foods, cheeseburger; single, large patty; plain","מזון מהיר — Fast foods, cheeseburger; single, large patty; plain","Фастфуд — Fast foods, cheeseburger; single, large patty; plain",USDA_SR_Legacy,meat,,310,17.29,24.07,15.97,1.7,,481,yes
usda_167999,"Baking chocolate, mexican, squares","שוקולד לאפייה — Baking chocolate, mexican, squares","Выпечный шоколад — Baking chocolate, mexican, squares",USDA_SR_Legacy,sweets,,426,3.64,77.41,15.59,4,,3,yes
usda_167568,"Baking chocolate, unsweetened, squares","שוקולד לאפייה — Baking chocolate, unsweetened, squares","Выпечный шоколад — Baking chocolate, unsweetened, squares",USDA_SR_Legacy,sweets,,642,14.32,28.42,52.31,16.6,,24,yes
usda_167985,"Candies, 5TH AVENUE Candy Bar","ממתקים — Candies, 5TH AVENUE Candy Bar","Конфеты — Candies, 5TH AVENUE Candy Bar",USDA_SR_Legacy,sweets,,482,8.78,62.68,23.98,3.1,,225,yes
usda_168757,"Candies, HERSHEY'S SKOR Toffee Bar","ממתקים — Candies, HERSHEY'S SKOR Toffee Bar","Конфеты — Candies, HERSHEY'S SKOR Toffee Bar",USDA_SR_Legacy,sweets,,541,3.13,63.73,30.37,1.3,,317,yes
usda_169628,"Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate","שוקולד חלב — Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate","Молочный шоколад — Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate",USDA_SR_Legacy,dairy,,521,9.53,55.38,31.34,3.3,,264,yes
usda_170680,"Candies, HERSHEYS, PAYDAY Bar","ממתקים — Candies, HERSHEYS, PAYDAY Bar","Конфеты — Candies, HERSHEYS, PAYDAY Bar",USDA_SR_Legacy,sweets,,490,13.44,52.88,25,3.8,,231,yes
usda_167992,"Candies, KIT KAT Wafer Bar","ממתקים — Candies, KIT KAT Wafer Bar","Конфеты — Candies, KIT KAT Wafer Bar",USDA_SR_Legacy,sweets,,518,6.51,64.59,25.99,1,,54,yes
usda_170676,"Candies, M&M MARS 3 MUSKETEERS Truffle Crisp","ממתקים — Candies, M&M MARS 3 MUSKETEERS Truffle Crisp","Конфеты — Candies, M&M MARS 3 MUSKETEERS Truffle Crisp",USDA_SR_Legacy,sweets,,538,6.41,63.15,28.85,,,63,yes
usda_170678,"Candies, M&M MARS Pretzel Chocolate Candies","ממתקים — Candies, M&M MARS Pretzel Chocolate Candies","Конфеты — Candies, M&M MARS Pretzel Chocolate Candies",USDA_SR_Legacy,grains,,447,5,72.94,15,2.5,,475,yes
usda_168767,"Candies, MARS SNACKFOOD US, 3 MUSKETEERS Bar","ממתקים — Candies, MARS SNACKFOOD US, 3 MUSKETEERS Bar","Конфеты — Candies, MARS SNACKFOOD US, 3 MUSKETEERS Bar",USDA_SR_Legacy,sweets,,436,2.6,77.77,12.75,1.5,,194,yes
usda_168108,"Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies","ממתקים — Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies","Конфеты — Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies",USDA_SR_Legacy,sweets,,522,7.53,60.5,27.76,5.6,,45,yes
usda_169583,"Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies","שוקולד חלב — Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies","Молочный шоколад — Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies",USDA_SR_Legacy,dairy,,492,4.33,71.19,21.13,2.8,,61,yes
usda_167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies","חמאת בוטנים — Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies","Арахисовая паста — Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",USDA_SR_Legacy,dairy,,529,10.16,56.89,29.32,4,,213,yes
usda_169582,"Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies","ממתקים — Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies","Конфеты — Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies",USDA_SR_Legacy,legumes,,515,9.57,60.48,26.13,3.7,,50,yes
usda_167994,"Candies, MARS SNACKFOOD US, MARS Almond Bar","ממתקים — Candies, MARS SNACKFOOD US, MARS Almond Bar","Конфеты — Candies, MARS SNACKFOOD US, MARS Almond Bar",USDA_SR_Legacy,sweets,,467,8.1,62.7,23,2,,170,yes
usda_168756,"Candies, MARS SNACKFOOD US, MILKY WAY Bar","ממתקים — Candies, MARS SNACKFOOD US, MILKY WAY Bar","Конфеты — Candies, MARS SNACKFOOD US, MILKY WAY Bar",USDA_SR_Legacy,sweets,,456,4.01,71.17,17.23,1,,167,yes
usda_167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar","ממתקים — Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar","Конфеты — Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",USDA_SR_Legacy,sweets,,443,3.2,71.22,17.5,2.9,,168,yes
usda_168843,"Candies, MARS SNACKFOOD US, SKITTLES Original Bite Size Candies","ממתקים — Candies, MARS SNACKFOOD US, SKITTLES Original Bite Size Candies","Конфеты — Candies, MARS SNACKFOOD US, SKITTLES Original Bite Size Candies",USDA_SR_Legacy,sweets,,405,0.19,90.78,4.37,,,15,yes
usda_169589,"Candies, MARS SNACKFOOD US, SNICKERS Bar","ממתקים — Candies, MARS SNACKFOOD US, SNICKERS Bar","Конфеты — Candies, MARS SNACKFOOD US, SNICKERS Bar",USDA_SR_Legacy,sweets,,491,7.53,61.51,23.85,2.3,,239,yes
usda_169590,"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits","ממתקים — Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits","Конфеты — Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits",USDA_SR_Legacy,sweets,,408,0.41,82.57,8.21,,,2,yes
usda_168768,"Candies, MARS SNACKFOOD US, TWIX Caramel Cookie Bars","ממתקים — Candies, MARS SNACKFOOD US, TWIX Caramel Cookie Bars","Конфеты — Candies, MARS SNACKFOOD US, TWIX Caramel Cookie Bars",USDA_SR_Legacy,sweets,,502,4.91,64.8,24.85,1.1,,198,yes
usda_168769,"Candies, MARS SNACKFOOD US, TWIX Peanut Butter Cookie Bars","חמאת בוטנים — Candies, MARS SNACKFOOD US, TWIX Peanut Butter Cookie Bars","Арахисовая паста — Candies, MARS SNACKFOOD US, TWIX Peanut Butter Cookie Bars",USDA_SR_Legacy,dairy,,547,9.18,54.14,32.67,3.1,,226,yes
usda_168759,"Candies, MOUNDS Candy Bar","ממתקים — Candies, MOUNDS Candy Bar","Конфеты — Candies, MOUNDS Candy Bar",USDA_SR_Legacy,sweets,,493,4.6,58.88,26.6,3.7,,145,yes
usda_168760,"Candies, MR. GOODBAR Chocolate Bar","ממתקים — Candies, MR. GOODBAR Chocolate Bar","Конфеты — Candies, MR. GOODBAR Chocolate Bar",USDA_SR_Legacy,sweets,,538,10.22,54.34,33.21,3.8,,41,yes
usda_168764,"Candies, REESE'S PIECES Candy","ממתקים — Candies, REESE'S PIECES Candy","Конфеты — Candies, REESE'S PIECES Candy",USDA_SR_Legacy,sweets,,497,12.46,59.86,24.77,3,,194,yes
usda_168763,"Candies, REESE'S Peanut Butter Cups","חמאת בוטנים — Candies, REESE'S Peanut Butter Cups","Арахисовая паста — Candies, REESE'S Peanut Butter Cups",USDA_SR_Legacy,dairy,,515,10.24,55.36,30.53,3.6,,357,yes
usda_170669,"Candies, REESE's Fast Break, milk chocolate, peanut butter, soft nougats, candy bar","שוקולד חלב — Candies, REESE's Fast Break, milk chocolate, peanut butter, soft nougats, candy bar","Молочный шоколад — Candies, REESE's Fast Break, milk chocolate, peanut butter, soft nougats, candy bar",USDA_SR_Legacy,dairy,,495,8.93,63.9,23.21,3.6,,321,yes
usda_168765,"Candies, ROLO Caramels in Milk Chocolate","שוקולד חלב — Candies, ROLO Caramels in Milk Chocolate","Молочный шоколад — Candies, ROLO Caramels in Milk Chocolate",USDA_SR_Legacy,dairy,,474,5.08,67.95,20.93,0.9,,188,yes
usda_167947,"Candies, TOBLERONE, milk chocolate with honey and almond nougat","שוקולד חלב — Candies, TOBLERONE, milk chocolate with honey and almond nougat","Молочный шоколад — Candies, TOBLERONE, milk chocolate with honey and almond nougat",USDA_SR_Legacy,dairy,,489,5.71,61.21,28.57,2.5,,54,yes
usda_170281,"Candies, Tamarind","ממתקים — Candies, Tamarind","Конфеты — Candies, Tamarind",USDA_SR_Legacy,sweets,,331,,91.96,,2.5,,1643,yes
usda_168770,"Candies, WHATCHAMACALLIT Candy Bar","ממתקים — Candies, WHATCHAMACALLIT Candy Bar","Конфеты — Candies, WHATCHAMACALLIT Candy Bar",USDA_SR_Legacy,sweets,,494,8.04,63.23,23.68,1.9,,299,yes
usda_167972,"Candies, butterscotch","באטרסקוץ' — Candies, butterscotch","Баттерскач — Candies, butterscotch",USDA_SR_Legacy,sweets,,391,0.03,90.4,3.3,,,391,yes
usda_167974,"Candies, caramels","ממתקים — Candies, caramels","Конфеты — Candies, caramels",USDA_SR_Legacy,sweets,,382,4.6,77,8.1,,,245,yes
usda_167566,"Candies, caramels, chocolate-flavor roll","ממתקים — Candies, caramels, chocolate-flavor roll","Конфеты — Candies, caramels, chocolate-flavor roll",USDA_SR_Legacy,bakery,,387,1.59,87.73,3.31,0.1,,44,yes
usda_167973,"Candies, carob, unsweetened","ממתקים — Candies, carob, unsweetened","Конфеты — Candies, carob, unsweetened",USDA_SR_Legacy,sweets,,540,8.15,56.29,31.36,3.8,,107,yes
usda_170274,"Candies, chocolate, dark, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)","ממתקים — Candies, chocolate, dark, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)","Конфеты — Candies, chocolate, dark, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)",USDA_SR_Legacy,sweets,,550,5.09,59.97,32.2,7.2,,23,yes
usda_170282,"Candies, coconut bar, not chocolate covered","ממתקים — Candies, coconut bar, not chocolate covered","Конфеты — Candies, coconut bar, not chocolate covered",USDA_SR_Legacy,fruit,,481,2.13,55.87,27.65,6.4,,128,yes
usda_167980,"Candies, confectioner's coating, butterscotch","באטרסקוץ' — Candies, confectioner's coating, butterscotch","Баттерскач — Candies, confectioner's coating, butterscotch",USDA_SR_Legacy,sweets,,539,2.2,67.1,29.05,,,89,yes
usda_167570,"Candies, confectioner's coating, peanut butter","חמאת בוטנים — Candies, confectioner's coating, peanut butter","Арахисовая паста — Candies, confectioner's coating, peanut butter",USDA_SR_Legacy,dairy,,529,18.3,46.88,29.8,5,,250,yes
usda_167569,"Candies, confectioner's coating, yogurt","ממתקים — Candies, confectioner's coating, yogurt","Конфеты — Candies, confectioner's coating, yogurt",USDA_SR_Legacy,dairy,,522,5.87,63.94,27,,,88,yes
usda_170275,"Candies, crispy bar with peanut butter filling","חמאת בוטנים — Candies, crispy bar with peanut butter filling","Арахисовая паста — Candies, crispy bar with peanut butter filling",USDA_SR_Legacy,dairy,,542,9.53,55.53,31.34,3.3,,264,yes
usda_167986,"Candies, fondant, prepared-from-recipe","ממתקים — Candies, fondant, prepared-from-recipe","Конфеты — Candies, fondant, prepared-from-recipe",USDA_SR_Legacy,sweets,,373,,93.18,0.02,,,11,yes
usda_170279,"Candies, fruit snacks, with high vitamin C","ממתקים — Candies, fruit snacks, with high vitamin C","Конфеты — Candies, fruit snacks, with high vitamin C",USDA_SR_Legacy,sweets,,352,0.08,87.97,,,,23,yes
usda_167987,"Candies, fudge, chocolate, prepared-from-recipe","ממתקים — Candies, fudge, chocolate, prepared-from-recipe","Конфеты — Candies, fudge, chocolate, prepared-from-recipe",USDA_SR_Legacy,sweets,,410,2.39,76.7,10.41,1.7,,45,yes
usda_167988,"Candies, fudge, chocolate, with nuts, prepared-from-recipe","ממתקים — Candies, fudge, chocolate, with nuts, prepared-from-recipe","Конфеты — Candies, fudge, chocolate, with nuts, prepared-from-recipe",USDA_SR_Legacy,sweets,,460,4.38,68.15,18.93,2.5,,39,yes
usda_167580,"Candies, fudge, vanilla with nuts","ממתקים — Candies, fudge, vanilla with nuts","Конфеты — Candies, fudge, vanilla with nuts",USDA_SR_Legacy,sauces,,435,3,74.61,13.69,0.9,,42,yes
usda_167579,"Candies, fudge, vanilla, prepared-from-recipe","ממתקים — Candies, fudge, vanilla, prepared-from-recipe","Конфеты — Candies, fudge, vanilla, prepared-from-recipe",USDA_SR_Legacy,sauces,,383,1.05,82.15,5.45,,,47,yes
usda_167989,"Candies, gumdrops, starch jelly pieces","ממתקים — Candies, gumdrops, starch jelly pieces","Конфеты — Candies, gumdrops, starch jelly pieces",USDA_SR_Legacy,sweets,,396,,98.9,,0.1,,44,yes
usda_167990,"Candies, hard","ממתקים — Candies, hard","Конфеты — Candies, hard",USDA_SR_Legacy,sweets,,394,,98,0.2,,,38,yes
usda_167546,"Candies, honey-combed, with peanut butter","חמאת בוטנים — Candies, honey-combed, with peanut butter","Арахисовая паста — Candies, honey-combed, with peanut butter",USDA_SR_Legacy,dairy,,473,8.72,67.41,20.18,1.9,,174,yes
usda_167991,"Candies, jellybeans","ממתקים — Candies, jellybeans","Конфеты — Candies, jellybeans",USDA_SR_Legacy,sweets,,375,,93.55,0.05,0.2,,50,yes
usda_167995,"Candies, marshmallows","ממתקים — Candies, marshmallows","Конфеты — Candies, marshmallows",USDA_SR_Legacy,sweets,,318,1.8,81.3,0.2,0.1,,80,yes
usda_167587,"Candies, milk chocolate","שוקולד חלב — Candies, milk chocolate","Молочный шоколад — Candies, milk chocolate",USDA_SR_Legacy,dairy,,535,7.65,59.4,29.66,3.4,,79,yes
usda_169637,"Candies, milk chocolate coated coffee beans","שוקולד חלב — Candies, milk chocolate coated coffee beans","Молочный шоколад — Candies, milk chocolate coated coffee beans",USDA_SR_Legacy,drinks,,549,7.41,55.25,33.18,5.7,,70,yes
usda_168001,"Candies, milk chocolate coated peanuts","שוקולד חלב — Candies, milk chocolate coated peanuts","Молочный шоколад — Candies, milk chocolate coated peanuts",USDA_SR_Legacy,dairy,,519,13.1,49.7,33.5,4.7,,41,yes
usda_169576,"Candies, milk chocolate coated raisins","שוקולד חלב — Candies, milk chocolate coated raisins","Молочный шоколад — Candies, milk chocolate coated raisins",USDA_SR_Legacy,dairy,,390,4.1,68.4,14.8,3.1,,36,yes
usda_168754,"Candies, milk chocolate, with almonds","שוקולד חלב — Candies, milk chocolate, with almonds","Молочный шоколад — Candies, milk chocolate, with almonds",USDA_SR_Legacy,dairy,,526,9,53.4,34.4,6.2,,74,yes
usda_168755,"Candies, milk chocolate, with rice cereal","שוקולד חלב — Candies, milk chocolate, with rice cereal","Молочный шоколад — Candies, milk chocolate, with rice cereal",USDA_SR_Legacy,dairy,,511,7.64,59.67,29.37,3.3,,86,yes
usda_169060,"Candies, nougat, with almonds","ממתקים — Candies, nougat, with almonds","Конфеты — Candies, nougat, with almonds",USDA_SR_Legacy,nuts,,398,3.33,92.39,1.67,3.3,,33,yes
usda_169585,"Candies, peanut bar","ממתקים — Candies, peanut bar","Конфеты — Candies, peanut bar",USDA_SR_Legacy,legumes,,522,15.5,47.4,33.7,4.1,,156,yes
usda_168384,"Alfalfa seeds, sprouted, raw","טרי — Alfalfa seeds, sprouted, raw","Сырой — Alfalfa seeds, sprouted, raw",USDA_SR_Legacy,greens,,23,3.99,2.1,0.69,1.9,,6,yes
usda_169311,"Artichokes, (globe or french), cooked, boiled, drained, with salt","ארטישוק — Artichokes, (globe or french), cooked, boiled, drained, with salt","Артишок — Artichokes, (globe or french), cooked, boiled, drained, with salt",USDA_SR_Legacy,vegetable,,51,2.89,11.39,0.34,5.7,,296,yes
usda_168386,"Artichokes, (globe or french), cooked, boiled, drained, without salt","ארטישוק — Artichokes, (globe or french), cooked, boiled, drained, without salt","Артишок — Artichokes, (globe or french), cooked, boiled, drained, without salt",USDA_SR_Legacy,vegetable,,53,2.89,11.95,0.34,5.7,,60,yes
usda_169205,"Artichokes, (globe or french), raw","ארטישוק — Artichokes, (globe or french), raw","Артишок — Artichokes, (globe or french), raw",USDA_SR_Legacy,vegetable,,47,3.27,10.51,0.15,5.4,,94,yes
usda_169387,"Arugula, raw","טרי — Arugula, raw","Сырой — Arugula, raw",USDA_SR_Legacy,greens,,25,2.58,3.65,0.66,1.6,,27,yes
usda_169207,"Asparagus, canned, drained solids","אספרגוס — Asparagus, canned, drained solids","Спаржа — Asparagus, canned, drained solids",USDA_SR_Legacy,vegetable,,19,2.14,2.46,0.65,1.6,,287,yes
usda_168390,"Asparagus, cooked, boiled, drained","אספרגוס — Asparagus, cooked, boiled, drained","Спаржа — Asparagus, cooked, boiled, drained",USDA_SR_Legacy,vegetable,,22,2.4,4.11,0.22,2,,14,yes
usda_169313,"Asparagus, cooked, boiled, drained, with salt","אספרגוס — Asparagus, cooked, boiled, drained, with salt","Спаржа — Asparagus, cooked, boiled, drained, with salt",USDA_SR_Legacy,vegetable,,22,2.4,4.11,0.22,2,,240,yes
usda_168389,"Asparagus, raw","אספרגוס — Asparagus, raw","Спаржа — Asparagus, raw",USDA_SR_Legacy,vegetable,,20,2.2,3.88,0.12,2.1,,2,yes
usda_168392,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt","מלח — Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt","Соль — Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",USDA_SR_Legacy,fruit,,34,3.6,6.68,0.2,1.9,,13,yes
usda_168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt","מלח — Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt","Соль — Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",USDA_SR_Legacy,fruit,,19,0.84,4.32,0.18,2,,6,yes
usda_169212,"Bamboo shoots, canned, drained solids","משימורים — Bamboo shoots, canned, drained solids","Консервированный — Bamboo shoots, canned, drained solids",USDA_SR_Legacy,vegetable,,19,1.72,3.22,0.4,1.4,,7,yes
usda_169210,"Bamboo shoots, raw","טרי — Bamboo shoots, raw","Сырой — Bamboo shoots, raw",USDA_SR_Legacy,vegetable,,27,2.6,5.2,0.3,2.2,,4,yes
usda_170079,"Beans, mung, mature seeds, sprouted, canned, drained solids","משימורים — Beans, mung, mature seeds, sprouted, canned, drained solids","Консервированный — Beans, mung, mature seeds, sprouted, canned, drained solids",USDA_SR_Legacy,legumes,,12,1.4,2.14,0.06,0.8,,42,yes
